,Sr No,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,Remarks
379,380,2/20/2018,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,"5,00,000",
380,381,2/21/2018,Udaan,eCommerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,"5,00,00,000",
381,382,2/21/2018,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,"2,00,00,000",
382,383,2/21/2018,The Healthy Billions,Healthcare,Analytics,Gurgaon,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,"21,00,000",
383,384,2/21/2018,HighRadius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,nan,
384,385,2/26/2018,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,"7,72,500",
385,386,2/26/2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,"10,40,000",
386,387,2/27/2018,Lollypop,Technology,Digital Design,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,nan,
387,388,2/27/2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,"2,50,000",
388,389,2/28/2018,Gaana,Technology,Online Music Streaming,Gurgaon,"Tencent Holdings Ltd, Times Internet",Private Equity,"11,50,00,000",
389,390,2/28/2018,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,"14,00,000",
390,391,2/28/2018,Predible Health,Healthcare,Cancer radiology,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,nan,
391,392,2/1/2018,CleverTap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,nan,
392,393,4/1/2018,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,"1,57,00,000",
393,394,5/1/2018,WOTU,eCommerce,Food and Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,nan,
394,395,8/1/2018,DAAKI,eCommerce,Sports Nutrition Supplement etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,nan,
395,396,9/1/2018,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,"47,00,000",
396,397,9/1/2018,Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,,Seed/Angel Funding,"25,00,000",
397,398,10/1/2018,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,"19,30,000",
398,399,10/1/2018,Appario Retail Pvt Ltd.,eCommerce,Retail,Delhi,Amazon-Patni JV,Private Equity,"1,88,40,000",
399,400,10/1/2018,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"2,35,00,000",
400,401,10/1/2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,"3,62,30,000",
401,402,12/1/2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"80,000",
402,403,12/1/2018,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,"2,00,00,000",
403,404,1/15/2018,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,"3,54,600",
404,405,1/15/2018,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,"2,50,00,000",
405,406,1/15/2018,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"2,00,00,000",
406,407,1/17/2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,"10,00,000",
407,408,1/18/2018,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,"1,82,00,000",
408,409,1/22/2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,"4,00,000",
409,410,1/22/2018,HungerBox,Consumer Internet,Food and Beverages,Bengaluru,Lionrock Capital,Private Equity,"25,00,000",
410,411,1/22/2018,Skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,nan,
411,412,1/22/2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,"40,00,000",
412,413,1/22/2018,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,"32,00,000",
413,414,1/23/2018,Milkbasket,eCommerce,Online Grocery,Gurgaon,Unilever Ventures,Private Equity,"30,00,000",
414,415,1/24/2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"4,70,00,000",
415,416,1/24/2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,"86,00,000",
416,417,1/24/2018,Aye Finance,Finance,Online Lending,Gurgaon,IFMR Capital,Term Loan,"62,40,000",
417,418,1/25/2018,Glassic,eCommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,nan,
418,419,1/25/2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,"10,00,000",
419,420,1/26/2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,"74,00,000",
420,421,1/29/2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"15,00,000",
421,422,1/29/2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,"10,00,000",
422,423,1/30/2018,PeeSafe,Healthcare,Hygiene,Gurgaon,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"10,00,000",
423,424,1/30/2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,"5,00,00,000",
424,425,1/30/2018,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,"5,00,000",
425,426,1/30/2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,"76,00,000",
426,427,1/30/2018,CureFit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,"1,00,00,000",
427,428,1/31/2018,iNurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,"44,00,000",
428,429,1/12/2017,Strata Enviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,nan,
429,430,5/12/2017,Dunzo,Technology,Daily Task Management Mobile App,Bengaluru,Google,Private Equity,"1,23,00,000",
430,431,5/12/2017,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,"2,30,00,000",
431,432,5/12/2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,"10,00,000",
432,433,5/12/2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,"5,00,000",
433,434,6/12/2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"6,00,00,000",
434,435,6/12/2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,"70,00,000",
435,436,7/12/2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,"1,00,00,000",
436,437,7/12/2017,The Label Life,eCommerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,"31,00,000",
437,438,7/12/2017,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,"7,50,000",
438,439,7/12/2017,eShakti,eCommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,"23,00,000",
439,440,8/12/2017,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,"50,00,000",
440,441,11/12/2017,Vahdam Tea,eCommerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,"15,00,000",
441,442,11/12/2017,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,"50,000",
442,443,11/12/2017,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,"50,000",
443,444,11/12/2017,Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,"12,00,000",
444,445,12/12/2017,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,"18,00,000",
445,446,12/12/2017,Fracktal Works,Technology,Platform based on 3D printing and Digital Manufacturing,Bengaluru,Hyderabad Angels,Seed/Angel Funding,nan,
446,447,12/12/2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,"1,75,00,000",
447,448,12/12/2017,Shopholix,eCommerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,"2,33,000",
448,449,12/13/2017,MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,"2,70,00,000",
449,450,12/13/2017,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,"2,70,00,000",
450,451,12/13/2017,DocsApp,Technology,Mobile Application for Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,"72,00,000",
451,452,12/13/2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,nan,
452,453,12/14/2017,Tea Box,eCommerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,RB Investments,Private Equity,"70,00,000",
453,454,12/14/2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,"60,00,000",
454,455,12/14/2017,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,"2,50,000",
455,456,12/14/2017,HomeLane,eCommerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,"1,00,00,000",
456,457,12/14/2017,WeDoSky,Technology,Provides Business Insights using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,nan,
457,458,12/15/2017,Purplle,eCommerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,"5,37,000",
458,459,12/15/2017,Cash Suvidha,eCommerce,Online Micro-Lending Platform,Delhi,,Debt Funding,"27,00,000",
459,460,12/18/2017,Sky Met Weather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,nan,
460,461,12/19/2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,"95,00,000",
461,462,12/19/2017,Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,nan,
462,463,12/19/2017,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,"15,00,000",
463,464,12/20/2017,Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,"10,00,000",
464,465,12/20/2017,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,"1,95,00,000",
465,466,12/21/2017,Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,"40,00,000",
466,467,12/21/2017,EasyEcom,eCommerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,"1,50,000",
467,468,12/21/2017,IGP.com,eCommerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,nan,
468,469,12/26/2017,Specsmakers,eCommerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,"1,00,00,000",
469,470,12/27/2017,Garage On Road,eCommerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,nan,
470,471,12/27/2017,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,"38,00,000",
471,472,2/11/2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"5,70,000",
472,473,2/11/2017,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,nan,
473,474,2/11/2017,FreshBoxx,eCommerce,Online Grocery Store,Bengaluru,Jayant Humbarwadi,Seed Funding,nan,
474,475,3/11/2017,Vagupu,Technology,Online Tutorial Marketplace,Bengaluru,Undisclosed Investors,Seed Funding,"10,00,000",
475,476,3/11/2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,nan,
476,477,3/11/2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bengaluru,Venture Catalysts,Seed Funding,"5,00,000",
477,478,4/11/2017,Hevo Data,Technology,Real time data analytics & reporting,Bengaluru,IDG Ventures India,Private Equity,"10,00,000",
478,479,6/11/2017,Smart Karma,Technology,Financial Technology Research Platform,Bengaluru,IDG Ventures India,Private Equity,nan,
479,480,6/11/2017,Leverage Edu,eCommerce,Online platform for Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,nan,
480,481,7/11/2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,nan,
481,482,7/11/2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,"50,00,000",
482,483,7/11/2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bengaluru,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,"50,00,000",
483,484,8/11/2017,TalentEdge,Technology,Distance Education Learning Platform,Bengaluru,Lumis Partners,Private Equity,"76,00,000",
484,485,8/11/2017,Fisdom,Finance,Mutual Fund Investment App,Bengaluru,Quona Capital Management,Private Equity,"30,00,000",
485,486,8/11/2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,"30,00,000",
486,487,8/11/2017,OpenApp,Technology,IoT based Tech Startup,Bengaluru,"Axilor Ventures, Kumar Vembu",Private Equity,"36,00,000",
487,488,9/11/2017,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,"8,72,000",
488,489,9/11/2017,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bengaluru,Matrix Partners,Seed Funding,nan,
489,490,9/11/2017,Mobiliz AR,Technology,Augmented Reality based Tech platform,Bengaluru,"IDG Ventures, IDFC-Parampara Fund",Private Equity,nan,
490,491,10/11/2017,Qubole,Technology,Big Data based analytics platform,Bengaluru,"Singtel, Innov8, Harmony Partners",Private Equity,"2,50,00,000",
491,492,10/11/2017,Happily Unmarried,eCommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,nan,
492,493,11/13/2017,Universal Sportsbiz Pvt. Ltd,eCommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,"1,50,00,000",
493,494,11/14/2017,Hungry Foal,eCommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,nan,
494,495,11/14/2017,Active AI,Technology,AI based FinTech platform,Bengaluru,Vertex Ventures,Private Equity,"82,50,000",
495,496,11/15/2017,Sumeru,Technology,Banking Software License Platform,Bengaluru,Undisclosed Investors,Seed Funding,"9,00,000",
496,497,11/15/2017,ElderAid Wellness,Health Care,Social Healthcare Enterprise,Bengaluru,Rugmini Menon,Angel Funding,nan,
497,498,11/15/2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,"30,00,000",
498,499,11/15/2017,Josh Talks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,nan,
499,500,11/15/2017,Reniso,Technology,End-to-End property management for landlords living away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,nan,
500,501,11/17/2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,"2,00,000",
501,502,11/17/2017,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,nan,
502,503,11/20/2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,"6,92,000",
503,504,11/21/2017,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,"3,29,230",
504,505,11/21/2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,"27,00,000",
505,506,11/21/2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,"4,00,000",
506,507,11/21/2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,"2,50,000",
507,508,11/21/2017,Portea,Healthcare,Healthcare facilities at doorstep,Bengaluru,"Sabre Partners, MEMG CDC",Private Equity,"2,60,00,000",
508,509,11/21/2017,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,nan,
509,510,11/21/2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,"20,00,00,000",
510,511,11/22/2017,MiStay,Technology,Online Hotel Reservation Platform,Bengaluru,Axilor Ventures,Seed/Angel Funding,nan,
511,512,11/23/2017,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,nan,
512,513,11/24/2017,IDG Ventures,Finance,Venture Capitalist,Bengaluru,Uniliver Ventures,Private Equity,"1,00,00,000",
513,514,11/24/2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"2,50,000",
514,515,11/27/2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed Investors,Private Equity,"27,00,00,000",
515,516,11/27/2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,"39,000",
516,517,11/27/2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,"38,00,000",
517,518,11/28/2017,Chumbak,Lifestyle,Designer-led consumer products,Bengaluru,Gaja Capital,Private Equity,"1,30,00,000",
518,519,11/28/2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,"15,00,000",
519,520,11/28/2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"13,50,000",
520,521,11/28/2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,"20,00,000",
521,522,3/10/2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,nan,
522,523,3/10/2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,nan,
523,524,3/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,"Tencent, Softbank Group",Private Equity,"11,00,00,000",
524,525,4/10/2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bengaluru,Digital Garage,Seed Funding,nan,
525,526,4/10/2017,CollPoll,Consumer Internet,Education collaboration platform,Bengaluru,Sprout Angels,Seed Funding,"3,06,000",
526,527,4/10/2017,PhonePe,Consumer Internet,Digital Wallet,Bengaluru,Flipkart,Private Equity,"3,87,00,000",
527,528,5/10/2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"10,00,000",
528,529,5/10/2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,"4,50,000",
529,530,5/10/2017,Zefo,eCommerce,Ecommerce Portal for Used Goods,Bengaluru,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"92,00,000",
530,531,6/10/2017,Yaantra,eCommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,"31,00,000",
531,532,6/10/2017,Farm Taaza,Technology,Fresh Produce SCM company,Bengaluru,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"80,00,000",
532,533,6/10/2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bengaluru,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"1,00,00,000",
533,534,6/10/2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bengaluru,"Das Capital, Simile Ventures",Private Equity,"20,00,000",
534,535,9/10/2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,nan,
535,536,9/10/2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bengaluru,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"27,00,000",
536,537,9/10/2017,IBSFintech,Technology,Treasury Risk Management Solution,Bengaluru,Shailesh Haribhakti,Seed Funding,nan,
537,538,9/10/2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bengaluru,Aequs Group,Private Equity,nan,
538,539,9/10/2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,"3,36,000",
539,540,9/10/2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,nan,
540,541,10/10/2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,"14,00,000",
541,542,10/10/2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,"45,00,000",
542,543,11/10/2017,Meesho,eCommerce,Online Reseller Network,Bengaluru,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"31,00,000",
543,544,11/10/2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,"11,00,000",
544,545,12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed Investors,Seed Funding,"2,35,000",
545,546,10/13/2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,"7,70,00,000",
546,547,10/13/2017,Gapoon,Consumer Internet,home maintenance services platform,Bengaluru,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"2,50,000",
547,548,10/13/2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,"20,00,000",
548,549,10/16/2017,KrazyBee,Consumer Internet,Micro-lending platform,Bengaluru,"Xiaomi Technologies, Shunwei Capital",Private Equity,"80,00,000",
549,550,10/16/2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,"92,00,000",
550,551,10/17/2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bengaluru,"Accel Partners, Zephyr Peacock",Private Equity,"70,00,000",
551,552,10/18/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,"70,00,000",
552,553,10/18/2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,nan,
553,554,10/18/2017,BlackBuck,Logistics,B2B Logistics provider,Bengaluru,Innoven Capital,Private Equity,"77,00,000",
554,555,10/18/2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investors,Seed Funding,"5,00,000",
555,556,10/23/2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"70,00,000",
556,557,10/23/2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"60,00,000",
557,558,10/23/2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,"31,00,000",
558,559,10/23/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"1,18,000",
559,560,10/24/2017,TagBox,Technology,Cold Chain monitoring solution,Bengaluru,"Indian Angel network, IAN Fund",Seed Funding,nan,
560,561,10/24/2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"5,00,000",
561,562,10/24/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"30,00,000",
562,563,10/24/2017,Skillenza,Consumer Internet,Online Learning Platform,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,"7,22,000",
563,564,10/24/2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,nan,
564,565,10/25/2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,nan,
565,566,10/25/2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"5,50,000",
566,567,10/26/2017,Big Basket,eCommerce,Online Grocery portal,Bengaluru,Helion Ventures Partners,Private Equity,"50,00,000",
567,568,10/27/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,"38,00,000",
568,569,10/27/2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,nan,
569,570,10/28/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,"1,20,000",
570,571,10/28/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,ANI Technologies Pvt. Ltd,Private Equity,"77,00,000",
571,572,10/30/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"20,00,000",
572,573,10/31/2017,NetMeds,eCommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"1,40,00,000",
573,574,10/31/2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"3,20,00,000",
574,575,1/9/2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,"10,00,000",
